帖子ID,帖子标题,作者,发帖时间,帖子内容,图片路径
69cce5d70000000221018fb4,约不到面试了,zzz,2026-04-01 17:31:03,后端暑期卷麻了，前两天发现百度暑期简历全挂，觉得是因为我投的都是大模型开发岗还是核心产品所以门槛比较高，所以换成传统开发岗投，结果一面面试官迟到了，面试的时候问一些很简单的问题，感觉也没提前看过我简历，最后考了个反转链表说我如果入职要学php能不能接受，我说都行，然后过了一小时把我给挂了。我:？不给我过为啥还出反转链表😥，高情商提升面试体验？ 有没有美团的捞我一下面试，想回美团[哭惹R]，美团就连日常都约不到面试现在，反而腾讯一直捞我面试#后端暑期实习[话题]# #大厂暑期[话题]##互联网大厂[话题]# 实习,images/69cce5d70000000221018fb4_1.jpg
69c78fd6000000001a02055c,jdy是每次先放进hr面再筛人吗,zzz,2026-03-28 16:22:46,一直以为jdy就是暑期，面到hr面hr问我为啥从美团走我说我想找暑期能转正的，对京东一顿舔说想在京东长期发展。结果hr反手来一句我们是日常实习，三个月那种，我直接愣住了，阿jdy不是暑期？前两面一直以为是暑期实习，面试官很细致的给我介绍业务说我做的和他们的很对口，部门比较类似。结果一句“我们是日常”杀死了比赛。也有可能是学历能力比较高的大佬把我横向下去了。#互联网大厂[话题]# #暑期实习[话题]# #JDY[话题]##后端[话题]#,images/69c78fd6000000001a02055c_1.jpg
69c553eb000000021a02bf5f,大厂暑期全是学历高的大神,zzz,2026-03-26 23:42:35,好多大厂日常能进面或者oc，但是暑期简历都过不去，感觉是因为暑期和秋招看齐，一样很看学历的原因，hc就那么几个，还不如要几个学历高的。#大厂[话题]# #互联网大厂实习[话题]# #大厂暑期实习[话题]##后端[话题]#,images/69c553eb000000021a02bf5f_1.jpg
69afecd8000000001600a9e7,美团官网进度为啥这么慢,zzz,2026-03-10 18:05:12,本人1月从美团离职，现在投了其他岗位一个多星期没有反应，最早年前投的日常实习到现在也没有反应，暑期实习到现在一点消息都没有，测评和笔试邮件啥也没，有大佬收到的吗？是简历被卡了吗还是单纯没通过筛选？[叹气R] 美团暑期开的最早实际是最晚面试的，百度京东pdd暑期一开，boss上直接同步开始放岗招人，百度没笔试直接面，pdd测评链接秒发并通知笔试时间，感觉效率都挺高的，尽管开的比美团晚但是人家很快就能进流程，就美团不知道啥情况，一点消息都没有，还是只有我一个人这样？[失望R][失望R] #互联网大厂实习[话题]# #网申[话题]# #大厂[话题]# #暑期实习[话题]#,images/69afecd8000000001600a9e7_1.jpg
69aa60fa000000021b015e2c,实习好难约面,zzz,2026-03-06 13:07:06,有美团AI开发实习经历但是一个面试都约不到，我每天两眼一睁就是boss，实习S，官网狂投五六个小时，但是持续了快两个星期约不到面试，之前没有美团经历的时候还总能约到大厂面试，现在我得开始投小厂了。是985清北大神现在集体出动导致的吗，本人27届，从届数上也不至于挂我吧，超级焦虑现在，感觉自己要失业了#互联网大厂实习[话题]# #求职[话题]# #找实习[话题]# #春招[话题]#,images/69aa60fa000000021b015e2c_1.jpg
69a51d030000000215032e8a,实习离职gap太久好难受,zzz,2026-03-02 13:15:47,美团暑期面试怎么这么晚[失望R] ，好难受，时间没算好，以为3月初就开始面试了，导致我从美团离职2个月空窗期难受的不行，又不想找日常，只想去美团转正，真是吃了💩的感觉，时间在一点点浪费，还得等20多天#互联网大厂实习[话题]# #找实习[话题]#,images/69a51d030000000215032e8a_1.jpg
698e8f9c0000000215030d3c,快手简直是我见过最难约面试的公司,zzz,2026-02-13 10:42:36,本人双非本2硕，简历上有一段美团AI应用开发实习投快手的好几个AI应用开发岗都给挂了，真的很好奇什么原因。我之前只有小公司实习的时候，百度滴滴什么的都能约到面试，快手秒挂，听说是快手卡大厂实习，结果我去弄了一段美团实习再回来投，继续简历全挂，有点离谱吧，我觉得我实习还挺垂直的，是快手大佬太多了吗？我现在基本约其他大厂都能约到面试，就快手不行，不知道是不是被拉黑了？还是学历不行？但是我看xhs上也有好多0实习约到快手面试还oc了的。也不是特别想去快手吧，就是想多面点，都没机会😓。反正快手真是我见过最难约面的公司。#互联网大厂实习[话题]# #找实习[话题]# #大厂[话题]# #面试[话题]#,images/698e8f9c0000000215030d3c_1.jpg
6967bb0a0000000221021cd4,夜场紫影：单板大跳台抓板瞬间,zzz,2026-01-14 23:49:30,紫银光影中的单板大跳台抓板动作，鱼眼镜头下的速度与激情。使用万相模型生成。 #阿里云米兰冬奥会AIGC全球大赛[话题]# #阿里云米兰冬奥会全球大赛[话题]#,images/6967bb0a0000000221021cd4_1.jpg
694bf062000000001b03224d,有大厂应届开发现身说法吗,zzz,2025-12-24 21:53:38,大厂应届程序员真实薪资到手是多少？大厂后端应届校招生我看都有23k左右的月base，每个月到手真有那么多吗？？感觉有点虚吧扣税了还有2w么[汗颜R],images/694bf062000000001b03224d_1.jpg
68c12416000000021d02c289,大厂暑期,zzz,2025-09-10 15:09:10,大厂暑期实习入职时间和转正时间点一般在什么时候？金三银四拿了暑期offer可以5，6月再入职吗？我是27届的，准备明年金三银四冲暑期想了解一下情况。,images/68c12416000000021d02c289_1.jpg
68bbf13e000000021d015a10,互联网低强度大厂？,zzz,2025-09-06 16:30:54,滴滴和百度是不是互联网大厂里强度比较低的？有没有在职的讲一讲？#互联网大厂[话题]# #大厂[话题]#,images/68bbf13e000000021d015a10_1.jpg
